Rule_ID	Rule
REP001	THE_ID005_CASE_STUDY_BIOLOGICAL_ANALYSIS_IS_BOUNDED_COMPLETE_FOR_THE_CURRENT_SEQUENCE_ONLY_DESIGN
REP002	NO_ADDITIONAL_CANDIDATE_DISCOVERY_COHORT_EXPANSION_THRESHOLD_TUNING_OR_MECHANISM_SEARCH_IS_PART_OF_THE_CURRENT_CASE_STUDY
REP003	THE_FINAL_RETAINED_TARGET_SIDE_INVENTORY_IS_FIVE_SEQUENCE_LEVEL_ITEMS_IN_TWO_SYSTEMS_ompF_NONCODING_AND_qnrB
REP004	RETAINED_ITEMS_ARE_REPORTED_AS_CANDIDATES_OR_RESIDUAL_SEQUENCE_SIGNALS_NOT_AS_ESTABLISHED_RESISTANCE_MECHANISMS
REP005	EXTERNAL_CONTEXTUALIZATION_IS_REPORTED_WITH_SYSTEM_SPECIFIC_TECHNICALLY_EVALUABLE_DENOMINATORS
REP006	ompF_EXTERNAL_RESULTS_ARE_REPORTED_AS_ZERO_EXACT_ID005_ALLELE_RECURRENCE_AMONG_FIVE_TECHNICALLY_RESOLVED_EXTERNAL_CIP_R_ISOLATES_WITH_CIP06_TECHNICALLY_UNRESOLVED
REP007	qnrB_EXTERNAL_RESULTS_ARE_REPORTED_AS_ZERO_SIGNALS_AMONG_TWO_TECHNICALLY_EVALUABLE_EXTERNAL_CIP_R_ISOLATES_UNDER_FROZEN_THRESHOLDS
REP008	qnrB_MUST_NOT_BE_REPORTED_AS_ZERO_OF_SIX_BECAUSE_CIP02_TO_CIP05_WERE_TECHNICALLY_UNAVAILABLE
REP009	ompF_MUST_NOT_BE_REPORTED_AS_ZERO_OF_SIX_EXACT_RECURRENCE_BECAUSE_CIP06_WAS_TECHNICALLY_UNRESOLVED
REP010	NC_CAND001_IS_REPORTED_AS_A_POLYMORPHIC_POSITION_IN_THE_RESOLVED_EXTERNAL_PANEL_WITH_A_IN_CIP02_AND_CIP03_BUT_WITHOUT_RECURRENCE_OF_THE_EXACT_ID005_T_ALLELE
REP011	NC_CAND001_POSITIONAL_VARIABILITY_DOES_NOT_ESTABLISH_FUNCTIONAL_RELEVANCE_OR_CREATE_A_NEW_CANDIDATE
REP012	NC_CAND002_NC_CAND003_AND_NC_CAND004_ARE_REPORTED_AS_MG1655_REFERENCE_AT_ALL_FIVE_CALLABLE_EXTERNAL_ISOLATES
REP013	EXTERNAL_NONRECURRENCE_DOES_NOT_REMOVE_THE_ID005_TARGET_SIDE_CANDIDATES
REP014	THE_ID005_qnrB_RESULT_REMAINS_A_COHERENT_RAW_READ_LOCUS_WITH_ASSEMBLY_TOOL_NONCALLING_AND_UNRESOLVED_GENOMIC_LINKAGE
REP015	THE_FINAL_ID005_ISOLATE_GENOMIC_qnrB_PRESENCE_CALL_REMAINS_NO
REP016	THE_EXTERNAL_PANEL_IS_CIP_R_ONLY_AND_CANNOT_BE_USED_TO_CLAIM_RESISTANT_VERSUS_SUSCEPTIBLE_ASSOCIATION
REP017	ID003_IS_REPORTED_SEPARATELY_AS_THE_CLOSE_BACKGROUND_CIP_S_COMPARATOR_AND_NOT_AS_A_MEMBER_OF_PILOT6
REP018	NO_P_VALUE_ODDS_RATIO_SENSITIVITY_SPECIFICITY_PREDICTIVE_ACCURACY_OR_FORMAL_ASSOCIATION_METRIC_IS_REPORTED_FOR_THE_PILOT6_CONTEXT
REP019	NO_CROSS_SYSTEM_CAUSAL_RANKING_OF_ompF_AND_qnrB_IS_PERMITTED
REP020	NO_FUNCTION_EXPRESSION_EPistasis_PLASMID_LOCATION_INSERTION_SITE_MOBILITY_TRANSFERABILITY_OR_CIP_CAUSALITY_IS_CLAIMED
REP021	TECHNICAL_UNAVAILABILITY_AND_TECHNICAL_UNRESOLUTION_ARE_ALWAYS_REPORTED_SEPARATELY_FROM_BIOLOGICAL_NEGATIVES
REP022	PHENOTYPE_UNCERTAINTY_IS_RETAINED_AS_A_DATA_QUALITY_LIMITATION
REP023	THE_CASE_STUDY_MAY_BE_DESCRIBED_AS_ILLUSTRATING_THE_LIMITS_OF_SEQUENCE_ONLY_MECHANISM_ASSIGNMENT_IN_A_GENOTYPE_PHENOTYPE_DISCORDANT_ISOLATE
REP024	THE_CASE_STUDY_MUST_NOT_BE_DESCRIBED_AS_HAVING_DISCOVERED_THE_CAUSE_OF_ID005_CIPROFLOXACIN_RESISTANCE
REP025	MANUSCRIPT_DRAFTING_TABLE_GENERATION_AND_FIGURE_GENERATION_MAY_PROCEED_ONLY_FROM_THE_FROZEN_REPORTING_REGISTRY_AND_UNDERLYING_PROVENANCE_LOCKED_ARTIFACTS
