Claim_ID	Topic	Permitted_Claim	Required_Qualifier	Prohibited_Overstatement
CLM001	ID005 stopping state	The bounded sequence-only investigation retained five sequence-level candidate items across two systems, ompF noncoding variation and qnrB.	Candidate discovery was closed prospectively.	Five resistance mechanisms were identified.
CLM002	ompF target-side evidence	Four ID005-specific ompF-region noncoding substitutions were retained relative to the close-background comparator.	One overlaps the prespecified OmpR F1 active core; functional effect was not established.	The ompF mutations caused ciprofloxacin resistance.
CLM003	ompF external context	None of the four exact ID005 ompF alleles recurred among the five technically resolved external CIP-R isolates.	CIP06 was technically unresolved and is not a negative.	The four alleles were absent from all six external isolates.
CLM004	NC_CAND001	The NC_CAND001 position was polymorphic in the external panel, with A observed in CIP02 and CIP03, but the exact ID005 T allele was not observed in any of five callable isolates.	No functional consequence was inferred.	Variation at this position is associated with ciprofloxacin resistance.
CLM005	qnrB target-side evidence	ID005 retained an assembly-tool-uncalled coherent raw-read qnrB locus with unresolved genomic linkage.	The final isolate genomic-presence call remained NO.	ID005 definitively contains a genomic qnrB resistance gene.
CLM006	qnrB external context	No qnrB raw-read signal was detected under the frozen thresholds in either technically evaluable external CIP-R isolate.	The evaluable denominator was 2; CIP02-CIP05 were technically unavailable.	qnrB was absent from all six external isolates.
CLM007	external recurrence	Neither retained ID005 candidate system showed recurrence in the technically evaluable external CIP-R context.	This is descriptive contextualization only and does not remove target-side candidate status.	External nonrecurrence disproves both candidate systems.
CLM008	association	The external panel provided descriptive recurrence context among CIP-R isolates.	The panel contained no susceptible comparison group.	The external panel demonstrated association with ciprofloxacin resistance.
CLM009	causality	The sequence-only investigation did not establish the causal basis of the ID005 ciprofloxacin-resistant phenotype.	Expression-dependent mechanisms and phenotype uncertainty remain unresolved limitations.	The cause of ID005 resistance was identified.
CLM010	case-study interpretation	ID005 illustrates how a ciprofloxacin-resistant phenotype can remain mechanistically unresolved after a bounded sequence-only audit despite extensive genomic interrogation.	This is a bounded case-study interpretation.	Sequence-based AMR surveillance is generally incapable of explaining ciprofloxacin resistance.
