Metric	Value
Case_study	ID005_CIP_R_GENOTYPE_PHENOTYPE_DISCORDANCE
Sequence_only_analysis_status	BOUNDED_COMPLETE
Candidate_discovery	CLOSED
Retained_sequence_level_items	5
Retained_candidate_systems	ompF_noncoding;qnrB
External_contextualization_status	BOUNDED_COMPLETE
External_panel_scope	SIX_CIP_R_ISOLATES_DESCRIPTIVE_CONTEXT_ONLY
ompF_external_endpoint	ZERO_EXACT_ID005_ALLELE_RECURRENCE_AT_ANY_OF_FOUR_FROZEN_SITES_AMONG_5_TECHNICALLY_RESOLVED_ISOLATES;CIP06_TECHNICALLY_UNRESOLVED
qnrB_external_endpoint	ZERO_RAW_READ_SIGNAL_IN_2_TECHNICALLY_EVALUABLE_EXTERNAL_ISOLATES_UNDER_FROZEN_THRESHOLDS;CIP02_TO_CIP05_TECHNICALLY_UNAVAILABLE
Target_side_candidate_retention_after_external_context	UNCHANGED
Cross_system_causal_ranking	PROHIBITED
Functional_effect_established	NO
Expression_effect_established	NO
qnrB_genomic_linkage_resolved	NO
CIP_causality_established	NO
Phenotype_uncertainty_retained	YES
Additional_candidate_discovery_allowed_in_current_case_study	NO
Additional_cohort_expansion_required_for_current_case_study	NO
Biological_analysis_phase	BOUNDED_COMPLETE
Manuscript_reporting_phase	READY_TO_BEGIN
Paper1_manuscript_complete	NO
Final_case_study_endpoint	ID005_REMAINS_A_SEQUENCE_ONLY_GENOTYPE_PHENOTYPE_DISCORDANT_CASE_WITH_FIVE_RETAINED_SEQUENCE_LEVEL_CANDIDATE_ITEMS_ACROSS_ompF_NONCODING_AND_qnrB;NEITHER_SYSTEM_SHOWED_RECURRENCE_IN_THE_TECHNICALLY_EVALUABLE_EXTERNAL_CIP_R_CONTEXT;TECHNICAL_MISSINGNESS_IS_PRESERVED;THE_CAUSAL_BASIS_OF_CIPROFLOXACIN_RESISTANCE_REMAINS_UNRESOLVED
