Rule_ID	Rule
RRCLNEG001	THIS_CLOSURE_APPLIES_ONLY_TO_THE_PROSPECTIVELY_FROZEN_42_OBJECT_CORE_RR02_TARGET_UNIVERSE
RRCLNEG002	THE_SCREEN_IS_NEGATIVE_BECAUSE_ZERO_CONCRETE_EVENTS_PASSED_ALL_FROZEN_DEPTH_ALT_READ_VAF_AND_STRAND_SUPPORT_CRITERIA
RRCLNEG003	NO_ARTIFACT_REVIEW_IS_TRIGGERED_BECAUSE_THERE_IS_NO_PRELIMINARY_PASSING_EVENT
RRCLNEG004	NO_COMPARATOR_AWARE_HOMOLOGOUS_PASS_ADJUDICATION_IS_TRIGGERED_BECAUSE_ID005_HAS_ZERO_PRELIMINARY_PASSES
RRCLNEG005	ID005_36_DEPTH_INELIGIBLE_EVENTS_ARE_NOT_INTERPRETED_AS_NEGATIVE_MINOR_ALLELE_EVIDENCE_AT_THOSE_EVENT_REPRESENTATIONS
RRCLNEG006	ID005_55_EVENTS_WITH_VAF_BELOW_0_10_ARE_BELOW_THE_PROSPECTIVELY_FROZEN_MINOR_SIGNAL_RANGE_AND_ARE_NOT_PROMOTED_POST_HOC
RRCLNEG007	EVENTS_WITH_ALT_AD_BELOW10_ARE_NOT_PROMOTED_POST_HOC_IN_EITHER_ISOLATE
RRCLNEG008	THIS_NEGATIVE_RESULT_DOES_NOT_PROVE_ABSENCE_OF_VARIATION_BELOW_THE_FROZEN_DETECTION_OR_CLASSIFICATION_THRESHOLDS
RRCLNEG009	THIS_NEGATIVE_RESULT_DOES_NOT_PROVE_ABSENCE_OF_MINOR_POPULATIONS_OUTSIDE_THE_42_FROZEN_TARGET_OBJECTS
RRCLNEG010	ACQUIRED_QUINOLONE_DETERMINANT_MINOR_ALLELE_SCOPE_REMAINS_DEFERRED_PENDING_A_SEPARATE_PROSPECTIVELY_FROZEN_REFERENCE_LIST_GATE
RRCLNEG011	NO_PHENOTYPIC_HETERORESISTANCE_EXPRESSION_FUNCTIONAL_EFFECT_RESISTANCE_EFFECT_OR_CIP_CAUSALITY_IS_INFERRED
RRCLNEG012	THE_CORE42_RR02_BRANCH_ENDPOINT_IS_FINAL_42_OBJECT_TARGETED_MINOR_ALLELE_SCREEN_NEGATIVE_UNDER_FROZEN_THRESHOLDS
