Rule_ID	Rule
SNEG001	THIS_GATE_INTEGRATES_THE_COMPLETED_LOCAL_STRUCTURAL_BRANCH_ONLY;NO_NEW_SEQUENCE_ANALYSIS
SNEG002	THE_NEGATIVE_ENDPOINT_APPLIES_TO_GE50BP_PAIRWISE_STRUCTURAL_DIFFERENCES_WITHIN_THE_EIGHT_FROZEN_MATCHED_EMPIRICAL_PROXIMAL_CONTEXTS
SNEG003	ZERO_INTERNAL_GE50BP_PAIRWISE_GAPS_WITH_ALL_EIGHT_ALIGNMENTS_RESOLVED_CLOSES_THE_LOCAL_ASSEMBLY_ADDRESSABLE_STRUCTURAL_EVENT_BRANCH
SNEG004	NO_RESOLVED_ID005_SPECIFIC_INSERTED_SEQUENCE_EXISTS_AT_THE_FROZEN_GE50BP_STRUCTURAL_THRESHOLD;THEREFORE_NO_IS_REFERENCE_LIBRARY_IS_TRIGGERED
SNEG005	SCU01_IS_NONIDENTICAL_WITH_ZERO_LENGTH_DELTA_AND_SCU06_IS_NONIDENTICAL_WITH_PLUS_2BP_TARGET_LENGTH_DELTA;BOTH_ARE_SUB50BP_AND_ARE_NOT_STRUCTURAL_CANDIDATES
SNEG006	SUB50BP_PAIRWISE_DIFFERENCES_ARE_NOT_DECLARED_BIOLOGICALLY_IRRELEVANT;THEY_ARE_ONLY_OUTSIDE_THIS_PROSPECTIVELY_FROZEN_STRUCTURAL_EVENT_CLASS
SNEG007	THE_FOUR_ALREADY_FROZEN_OMPF_NONCODING_CANDIDATES_ARE_RETAINED_UNCHANGED_AND_ARE_NOT_UPGRADED_OR_DOWNRANKED_BY_THE_STRUCTURAL_NEGATIVE_ENDPOINT
SNEG008	NO_STRUCTURAL_RESULT_ESTABLISHES_OMPR_BINDING_OMPF_EXPRESSION_PORIN_ABUNDANCE_PERMEABILITY_EFFLUX_ACTIVITY_OR_CIPROFLOXACIN_CAUSALITY
SNEG009	DRAFT_ASSEMBLIES_CAN_MISS_COLLAPSED_REPEATS_COPY_NUMBER_VARIATION_MINOR_SUBPOPULATIONS_AND_SOME_LONG_RANGE_REARRANGEMENTS
SNEG010	THE_FROZEN_10KB_EXTENDED_CONTEXT_WAS_SECONDARY_CONTINUITY_SUPPORT;THE_DIRECT_NEGATIVE_ENDPOINT_IS_DEFINED_BY_THE_MATCHED_EMPIRICAL_PRIMARY_PROXIMAL_CONTEXTS
SNEG011	ROBUST_COPY_NUMBER_OR_AMPLIFICATION_INFERENCE_REMAINS_RAW_READ_DEPENDENT
SNEG012	HETERORESISTANCE_OR_MINOR_SUBPOPULATION_ANALYSIS_REMAINS_RAW_READ_DEPENDENT
SNEG013	EXPRESSION_DEPENDENT_EFFLUX_OR_PORIN_STATE_REMAINS_UNRESOLVED_WITHOUT_NON_ASSEMBLY_FUNCTIONAL_DATA
SNEG014	PHENOTYPE_MEASUREMENT_UNCERTAINTY_REMAINS_AN_EXPLICIT_FINAL_DATA_QUALITY_LIMITATION
SNEG015	NO_SEQUENCE_ONLY_CAUSAL_RESISTANCE_CLAIM_IS_MADE
