Rule_ID	Rule
AACEX001	THIS_GATE_FREEZES_ONLY_EXECUTION_AND_PARSING_DETAILS_AND_DOES_NOT_CHANGE_ANY_AACD001_TO_AACD025_ANALYTICAL_RULE
AACEX002	THE_EXACT_SIGNAL_UNIVERSE_WILL_LATER_BE_DERIVED_FROM_THE_FROZEN_ID005_PHASEA_FRAGMENT_AND_READ_END_RESOLUTION_TABLES_AND_THE_FROZEN_PHASEB_FRAGMENT_SURVIVAL_TABLE
AACEX003	ONLY_ID005_aac6Ibcr_FRAGMENTS_WITH_PHASEB_SURVIVAL_YES_AND_THEIR_ORIGINAL_PHASEA_FAMILY_RESOLVED_SUPPORTING_ENDS_MAY_ENTER_EXTRACTION
AACEX004	THE_DERIVED_UNIVERSE_MUST_REPRODUCE_EXACTLY_20_UNIQUE_FRAGMENT_QNAMES_31_SUPPORTING_ENDS_16_R1_AND_15_R2_BEFORE_ANY_FASTQ_RECORD_IS_EXTRACTED
AACEX005	FASTQ_QNAME_NORMALIZATION_USES_ONLY_THE_FIRST_WHITESPACE_DELIMITED_TOKEN_AFTER_AT_AND_REMOVES_ONLY_AN_OPTIONAL_TERMINAL_SLASH1_OR_SLASH2
AACEX006	R1_EXTRACTION_CONTAINS_ONLY_THE_16_LOCKED_R1_SUPPORTING_ENDS_AND_R2_EXTRACTION_CONTAINS_ONLY_THE_15_LOCKED_R2_SUPPORTING_ENDS
AACEX007	EVERY_REQUESTED_SUPPORTING_END_MUST_OCCUR_EXACTLY_ONCE_IN_ITS_FROZEN_SOURCE_FASTQ_AND_DUPLICATE_OR_MISSING_TARGET_QNAMES_ARE_TECHNICAL_FAILURES
AACEX008	FASTQ_HEADER_SEQUENCE_PLUS_AND_QUALITY_LINES_ARE_WRITTEN_BYTE_FOR_BYTE_AS_READ_FROM_THE_FROZEN_SOURCE_RECORD_EXCEPT_NO_RECORDS_OUTSIDE_THE_LOCKED_END_UNIVERSE_ARE_COPIED
AACEX009	THE_TWO_EXTRACTED_FASTQS_ARE_MAPPED_SEPARATELY_WITH_THE_ALREADY_FROZEN_SINGLE_END_bwa_mem_MINUS_a_COMMAND
AACEX010	BWA_SAM_QNAME_IS_MATCHED_TO_THE_LOCKED_FRAGMENT_QNAME_WITHOUT_ANY_POST_MAPPING_QNAME_REWRITE
AACEX011	UNMAPPED_AND_SUPPLEMENTARY_SAM_RECORDS_DO_NOT_CONTRIBUTE_CLASS_SCORES_WHILE_SECONDARY_RECORDS_REMAIN_ELIGIBLE
AACEX012	REFERENCE_CLASS_IS_TAKEN_FROM_THE_FROZEN_UNIQUE_SEQUENCE_MANIFEST_NOT_INFERRED_POST_HOC_FROM_ALIGNMENT_SCORE_OR_READ_CONTENT
AACEX013	EVERY_ONE_OF_THE_31_SUPPORTING_ENDS_MUST_RECEIVE_EXACTLY_ONE_OF_CR_RESOLVED_NONCR_RESOLVED_CLASS_AMBIGUOUS_OR_TECHNICALLY_UNRESOLVED
AACEX014	FRAGMENT_ADJUDICATION_USES_ONLY_THE_STATUS_OF_THAT_FRAGMENTS_ORIGINAL_SUPPORTING_ENDS_AND_NEVER_ITS_NON_SUPPORTING_MATE
AACEX015	THE_20_FRAGMENTS_MUST_EACH_RECEIVE_EXACTLY_ONE_OF_CR_INFORMATIVE_NONCR_INFORMATIVE_CLASS_CONFLICT_OR_CLASS_UNINFORMATIVE
AACEX016	FINAL_VARIANT_DISCRIMINATION_ENDPOINT_PRECEDENCE_IS_MIXED_OR_CONFLICTING_IF_ANY_CLASS_CONFLICT_EXISTS_OR_IF_BOTH_CR_AND_NONCR_INFORMATIVE_FRAGMENTS_EXIST
AACEX017	IF_NOT_MIXED_CR_VARIANT_DISCRIMINATION_SUPPORTED_REQUIRES_CR_INFORMATIVE_FRAGMENTS_AT_LEAST_3_NONCR_INFORMATIVE_ZERO_AND_CLASS_CONFLICT_ZERO
AACEX018	IF_NOT_MIXED_NONCR_VARIANT_DISCRIMINATION_SUPPORTED_REQUIRES_NONCR_INFORMATIVE_FRAGMENTS_AT_LEAST_3_CR_INFORMATIVE_ZERO_AND_CLASS_CONFLICT_ZERO
AACEX019	ALL_OTHER_NONMIXED_OUTCOMES_ARE_INSUFFICIENT_VARIANT_DISCRIMINATION
AACEX020	TECHNICAL_FAILURES_STOP_THE_GATE_AND_ARE_NOT_CONVERTED_TO_AMBIGUOUS_NONCR_OR_CR_EVIDENCE
AACEX021	THE_EXECUTION_GATE_WILL_PRESERVE_PER_END_BEST_CR_AS_BEST_NONCR_AS_CLASS_MARGIN_STATUS_AND_PER_FRAGMENT_ADJUDICATION
AACEX022	NO_FINAL_GENE_PRESENCE_TARGET_SPECIFICITY_FUNCTIONAL_EFFECT_HETERORESISTANCE_PLASMID_LOCATION_OR_CIP_CAUSALITY_CALL_IS_PERMITTED_BY_THIS_IMPLEMENTATION_FREEZE
AACEX023	THIS_IMPLEMENTATION_FREEZE_MUST_NOT_OPEN_SIGNAL_QNAME_PHASEA_PHASEB_SAM_OR_FASTQ_CONTENT_AND_MUST_NOT_MAP_READS
