Rule_ID	Rule
ACQ001	NO_PILOT6_qnrB_RECURRENCE_ASSAY_INCLUDING_CIP01_IS_EXECUTED_BEFORE_THE_CIP02_TO_CIP06_RAW_READ_ACCESSION_RESOLUTION_ATTEMPT_IS_CLOSED
ACQ002	THE_ACQUISITION_DECISION_IS_MADE_BEFORE_ANY_EXTERNAL_PILOT6_qnrB_RECURRENCE_RESULT_IS_VISIBLE
ACQ003	THE_ACCESSION_RESOLUTION_TARGETS_ARE_EXACTLY_CIP02_CIP03_CIP04_CIP05_AND_CIP06
ACQ004	FOR_EACH_TARGET_THE_FROZEN_BIOSAMPLE_WGS_MASTER_ISOLATE_AND_COUNTRY_METADATA_MAY_BE_USED_ONLY_TO_RESOLVE_ORIGINAL_PUBLIC_RAW_READ_PROVENANCE
ACQ005	AN_ISOLATE_IS_ACQUISITION_ELIGIBLE_IF_EXACTLY_ONE_UNAMBIGUOUS_PAIRED_END_SHORT_READ_RUN_OR_ONE_UNAMBIGUOUSLY_DEFINED_SET_OF_RUNS_IS_LINKED_TO_THE_FROZEN_BIOSAMPLE_AND_WGS_RECORD
ACQ006	IF_MULTIPLE_PLAUSIBLE_RAW_READ_RUNS_OR_RUN_SETS_CANNOT_BE_UNAMBIGUOUSLY_RECONCILED_THE_ISOLATE_STOPS_AS_PROVENANCE_AMBIGUOUS_AND_NO_POST_HOC_RUN_SELECTION_IS_PERMITTED
ACQ007	IF_NO_PROVENANCE_LINKED_PAIRED_END_SHORT_READ_DATA_CAN_BE_RESOLVED_THE_ISOLATE_REMAINS_TECHNICALLY_UNAVAILABLE
ACQ008	ACCESSION_RESOLUTION_FAILURE_IS_NOT_A_qnrB_NEGATIVE
ACQ009	NO_qnrB_CANDIDATE_STATUS_AMR_RESULT_OR_READ_MAPPING_RESULT_MAY_BE_USED_TO_CHOOSE_WHICH_RAW_READ_RUN_TO_ACQUIRE
ACQ010	AFTER_ACCESSION_RESOLUTION_THE_EXACT_RUN_ACCESSIONS_DOWNLOAD_FILES_FILE_SIZES_AND_SHA256_VALUES_MUST_BE_FROZEN_BEFORE_qnrB_MAPPING
ACQ011	THE_ALREADY_FROZEN_qnrB_ASSAY_THRESHOLDS_MAY_NOT_CHANGE_AFTER_RAW_READ_ACQUISITION
ACQ012	THE_FINAL_EXTERNAL_qnrB_EVALUABLE_DENOMINATOR_IS_DETERMINED_BY_PROSPECTIVE_TECHNICAL_INPUT_AVAILABILITY_NOT_BY_OBSERVED_qnrB_RESULTS
