Rule_ID	Rule
OMIM001	THE_FUTURE_ompF_EXECUTION_UNIVERSE_IS_EXACTLY_CIP01_THROUGH_CIP06_USING_THE_SIX_SHA256_FROZEN_ASSEMBLIES
OMIM002	THE_ONLY_QUERY_IS_THE_FIXED_601_BP_MG1655_NCUNIT05_SEQUENCE_986983_THROUGH_987583
OMIM003	EACH_FROZEN_ASSEMBLY_IS_INDEXED_WITH_BWA_INDEX_MINUS_a_is_AND_THE_FIXED_QUERY_IS_MAPPED_WITH_BWA_mem_MINUS_a
OMIM004	SUPPLEMENTARY_ALIGNMENTS_ARE_EXCLUDED_AND_SECONDARY_ALIGNMENTS_MAY_PARTICIPATE_IN_BEST_LOCUS_SCORING
OMIM005	ALIGNMENT_IDENTITY_IS_1_MINUS_NM_DIVIDED_BY_ALIGNMENT_COLUMNS_WHERE_ALIGNMENT_COLUMNS_ARE_M_PLUS_I_PLUS_D_PLUS_EQUAL_PLUS_X
OMIM006	AN_ELIGIBLE_LOCUS_ALIGNMENT_REQUIRES_IDENTITY_AT_LEAST_0_95_AND_ALL_FOUR_FIXED_QUERY_POSITIONS_201_273_507_580_MAPPED_TO_NON_GAP_ASSEMBLY_BASES
OMIM007	THE_RESOLVED_LOCUS_IS_THE_UNIQUE_HIGHEST_AS_ELIGIBLE_CONTIG_START_STRAND_CONFIGURATION
OMIM008	MULTIPLE_EQUAL_HIGHEST_AS_ELIGIBLE_CONTIG_START_STRAND_CONFIGURATIONS_PRODUCE_TECHNICALLY_UNRESOLVED_MULTIPOSITION_LOCUS
OMIM009	EQUAL_BEST_RECORDS_AT_ONE_LOCUS_WITH_DIFFERENT_CIGAR_OR_NM_STRUCTURE_PRODUCE_TECHNICAL_AMBIGUITY_AND_STOP_THAT_ISOLATE
OMIM010	FOR_REVERSE_STRAND_ALIGNMENTS_THE_ASSEMBLY_ALLELE_IS_COMPLEMENTED_TO_THE_FIXED_MG1655_QUERY_ORIENTATION
OMIM011	EACH_FROZEN_SITE_IS_CLASSIFIED_AS_ID005_ALLELE_MG1655_REFERENCE_ALLELE_OTHER_ALLELE_OR_TECHNICALLY_UNRESOLVED
OMIM012	FULL_ID005_FOUR_SITE_HAPLOTYPE_REQUIRES_ALL_FOUR_CALLABLE_AND_ALL_FOUR_EQUAL_TO_ID005_ALLELES
OMIM013	PARTIAL_ID005_SITE_RECURRENCE_REQUIRES_ALL_FOUR_CALLABLE_AND_EXACTLY_ONE_TO_THREE_ID005_ALLELES
OMIM014	NO_ID005_SITE_RECURRENCE_REQUIRES_ALL_FOUR_CALLABLE_AND_ZERO_ID005_ALLELES
OMIM015	ANY_UNCALLABLE_FIXED_SITE_MAKES_THE_SYSTEM_STATUS_TECHNICALLY_UNRESOLVED_WITH_SITE_LEVEL_RESULTS_PRESERVED
OMIM016	NO_ADDITIONAL_ompF_POSITION_VARIANT_OR_LOCUS_MAY_BE_ADDED_AFTER_EXECUTION_OPENS
